file_path,surface,role_channel,route_or_function,function_name,state,locale,source_commit_or_build,width,height,sha256,real_runtime_verified,branding_verified,brand_anchor_present,reviewer_notes
ScreenShots/01_Mobile/Driver_B2C/03_driver_deliveries__populated__ar.png,mobile,Driver B2C,driver/runtime,03_driver_deliveries,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,37b1fcb063f1126bdf5172398143319cfe9c90e0c33fda3c4e02c2fc102d0abe,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/03_driver_deliveries__populated__en.png,mobile,Driver B2C,driver/runtime,03_driver_deliveries,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,f98856b62360896b4ffd229a4a64ca181e3f0915bca42ce6fb63972b07a7b9c7,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/04_driver_delivery_detail__actions__ar.png,mobile,Driver B2C,driver/runtime,04_driver_delivery_detail,actions,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,afff2b8a982cb4b41bde783ff1f315d0645b3a93c961d4ca78bc42d9cbe374b7,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/04_driver_delivery_detail__actions__en.png,mobile,Driver B2C,driver/runtime,04_driver_delivery_detail,actions,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,4062f6be3960936ed3c8ea0c7a9b5d359030d3970fbc319e103a35bd9d035589,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/05_driver_deliveries__empty__ar.png,mobile,Driver B2C,driver/runtime,05_driver_deliveries,empty,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,f61d54ce407ca773107a2e03bed9fc2ade03f0ff0bdd991dd5b203c834dd6ddd,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/05_driver_deliveries__empty__en.png,mobile,Driver B2C,driver/runtime,05_driver_deliveries,empty,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,513f6c9f48af54412af7611f6122f98f9e1986aaa965c343e037ebdb98201597,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/06_driver_deliveries__offline__ar.png,mobile,Driver B2C,driver/runtime,06_driver_deliveries,offline,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,5155c8b5dc326816b675a9f9bca92a2863582dba2db8daadd33855302d8e033b,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/Driver_B2C/06_driver_deliveries__offline__en.png,mobile,Driver B2C,driver/runtime,06_driver_deliveries,offline,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,bce9bc49202fe1e4267fb7c880ad16f2e5cb81ad9d892e8c29fab5d27f089bd1,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/02_Web/B2B_SuperAdmin/01_تسجيل_الدخول_B2B__default__ar.png,web,B2B Super Admin,/admin/b2b/login,تسجيل_الدخول_B2B,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,1440,1080,c1884d693bdfc5bed634e61dd9df4f928622d246b6e77150f876defd95920ca6,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/02_Web/B2B_SuperAdmin/01_تسجيل_الدخول_B2B__default__en.png,web,B2B Super Admin,/admin/b2b/login,تسجيل_الدخول_B2B,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,1440,1080,9a4064bd80cd6fc508f85cf53eaf4d86ebe696428bfce7a6d60f54f9e0239844,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
